date,Sentiment Score,price,Next Day Price,Price Delta
2025-01-06,0.63,148.59,153.03,4.439999999999998
2025-01-07,0.52,153.03,142.58,-10.449999999999989
2025-01-08,0.54,142.58,137.45,-5.130000000000024
2025-01-10,0.58,137.45,129.99,-7.4599999999999795
2025-01-13,0.54,129.99,136.05,6.060000000000002
2025-01-14,0.49,136.05,133.65,-2.4000000000000057
2025-01-15,0.63,133.65,138.64,4.989999999999981
2025-01-16,0.47,138.64,136.69,-1.9499999999999886
2025-01-17,0.59,136.69,139.16,2.469999999999999
2025-01-21,0.63,139.16,144.66,5.5
2025-01-22,0.76,144.66,145.05,0.3900000000000148
2025-01-23,0.63,145.05,148.37,3.319999999999993
2025-01-24,0.58,148.37,124.8,-23.570000000000007
2025-01-27,0.28,124.8,121.81,-2.989999999999995
2025-01-28,0.57,121.81,126.5,4.689999999999998
2025-01-29,0.42,126.5,123.1,-3.4000000000000057
2025-01-30,0.36,123.1,123.78,0.6800000000000068
